NAME,TYPE,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,OS LICENSING BENEFIT,PRIVATE IP ADDRESS,DISKS,VM GENERATION,IMAGE PLAN,TAGS,RESOURCE LINK
"azeu1dardap01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-ARD","East US","Running","Linux","Standard_D4ds_v4","Azure Hybrid Benefit for Redhat","10.115.35.144","2","V2"," -","{""application"":""ARD"",""technical_contact"":""dl_sapbasis@halliburton.com"",""environment_type"":""DEV/TEST"",""request_number"":""MIGRATION"",""cost_center"":""1002311689"",""billing_status"":""BILLED"",""Delivery_Manager"":""scott.traverse@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R4W2""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-ARD/providers/Microsoft.Compute/virtualMachines/azeu1dardap01"
"azeu1dbsiap01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-BSI","East US","Running","Windows","Standard_D8ds_v4","Azure Hybrid Benefit for Windows","10.115.32.12","1","V1","2019-Datacenter","{""application"":""BSI"",""cost_center"":""1002560525"",""technical_owner"":""satyam.ravula@halliburton.com"",""environment_type"":""NONPROD"",""business_owner"":""Roy.Abuel@Halliburton.com"",""release"":""R1W1"",""technical_contact"":""satyam.ravula@halliburton.com;DL_SAPBasis@halliburton.com;DL_ERP_Unix@halliburton.com;hal.sdm@accenture.com;Vicki.Thomas@halliburton.com;Vicki.Thomas@halliburton.com;"",""request_number"":""MIGRATION"",""psl"":""ERP"",""Delivery_Manager"":""michael.haigh@halliburton.com"",""RI_Purchased"":""YES"",""RI_Purchased_SKU"":""Standard_D8ds_v4"",""operating_system_version"":""WIN 2019"",""migration_strategy"":""SAP"",""migration_approach"":""REBUILD"",""high_availability"":""NON-HA"",""billing_status"":""BILLED"",""application_role"":""APP""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-BSI/providers/Microsoft.Compute/virtualMachines/AZEU1DBSIAP01"
"azeu1dbsidb01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-BSI","East US","Running","Linux","Standard_E20ds_v4","Azure Hybrid Benefit for Redhat","10.115.34.12","7","V2","rhel-lvm82-gen2","{""application"":""BSI"",""technical_contact"":""dl_sapbasis@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002560525"",""billing_status"":""BILLED"",""Delivery_Manager"":""michael.haigh@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-BSI/providers/Microsoft.Compute/virtualMachines/azeu1dbsidb01"
"azeu1dcblap02","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CBL","East US","Running","Linux","Standard_E8ds_v4","Not enabled","10.115.32.198","2","V2","81-gen2","{""application"":""CBL"",""technical_contact"":""dl_sapbasis@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""OEL 8.5"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R3W2"",""RI_Purchased_SKU"":""Standard_E8ds_v4"",""SOC2"":"""",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CBL/providers/Microsoft.Compute/virtualMachines/azeu1dcblap02"
"azeu1dcbldb01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CBL","East US","Running","Linux","Standard_M64ms","Azure Hybrid Benefit for Redhat","10.115.34.61","8","V2"," -","{""application"":""CBL"",""technical_contact"":""dl_sapbasis@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Roy.Abuel@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R3W2"",""soc2"":""""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CBL/providers/Microsoft.Compute/virtualMachines/azeu1dcbldb01"
"azeu1dcgrap02","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CGR","East US","Running","Linux","Standard_D8ds_v4","Not enabled","10.115.32.196","2","V2","81-gen2","{""application"":""CGR"",""environment_type"":""NONPROD"",""technical_contact"":""dl_sapbasis@halliburton.com"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""michael.haigh@halliburton.com"",""business_owner"":""Mat.West@Halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""OEL 8.5"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R3W2"",""SOC2"":"""",""RI_Purchased_SKU"":""Standard_D8ds_v4"",""RI_Purchased"":""YES"",""kernel_version"":""""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CGR/providers/Microsoft.Compute/virtualMachines/azeu1dcgrap02"
"azeu1dcgrdb01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CGR","East US","Running","Linux","Standard_M32ls","Azure Hybrid Benefit for Redhat","10.115.34.65","8","V2"," -","{""application"":""CGR"",""environment_type"":""NONPROD"",""technical_contact"":""dl_sapbasis@halliburton.com"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""michael.haigh@halliburton.com"",""business_owner"":""Mat.West@Halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R3W2"",""soc2"":""""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CGR/providers/Microsoft.Compute/virtualMachines/azeu1dcgrdb01"
"azeu1dcgtap01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CGT","East US","Running","Linux","Standard_D8ds_v4","Not enabled","10.115.32.137","2","V2","81-gen2","{""application"":""CGT"",""technical_contact"":""dl_sapbasis@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""scott.traverse@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""OEL 8.5"",""business_owner"":""Dixon.Sabin@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R4W2""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CGT/providers/Microsoft.Compute/virtualMachines/azeu1dcgtap01"
"azeu1dcgtdb01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CGT","East US","Running","Linux","Standard_M32ts","Azure Hybrid Benefit for Redhat","10.115.34.100","8","V2"," -","{""application"":""CGT"",""technical_contact"":""dl_sapbasis@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362096"",""billing_status"":""BILLED"",""Delivery_Manager"":""scott.traverse@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""Dixon.Sabin@Halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""DB"",""release"":""R4W2""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CGT/providers/Microsoft.Compute/virtualMachines/azeu1dcgtdb01"
"azeu1dcgwap01","Virtual machine","C-SAP-NONPROD-01","RG-EU1-DEV-CGW","East US","Running","Linux","Standard_E4as_v4","Azure Hybrid Benefit for Redhat","10.115.32.24","2","V2"," -","{""application"":""CGW"",""technical_contact"":""satyam.ravula@halliburton.com"",""environment_type"":""NONPROD"",""request_number"":""MIGRATION"",""cost_center"":""1002362022"",""billing_status"":""BILLED"",""Delivery_Manager"":""roy.abuel@halliburton.com"",""psl"":""ERP"",""technical_owner"":""satyam.ravula@halliburton.com"",""operating_system_version"":""RHEL 8.2"",""business_owner"":""satyam.ravula@halliburton.com"",""migration_approach"":""REBUILD"",""migration_strategy"":""SAP"",""high_availability"":""NON-HA"",""application_role"":""APP"",""release"":""R2W1"",""RI_Purchased_SKU"":""Standard_D8ds_v4"",""RI_Purchased"":""YES""}","https://portal.azure.com#resource/subscriptions/a80612a2-33d6-47ff-817a-283e8bc8edd2/resourceGroups/RG-EU1-DEV-CGW/providers/Microsoft.Compute/virtualMachines/azeu1dcgwap01"
